frame,numero_pers,joint,x,y,tracking,est_joueur
4,1,2,877.512,436.2,1,0
4,1,3,0,0,1,0
4,1,4,0,0,1,0
4,1,5,880.473,439.018,1,0
4,1,6,0,0,1,0
4,1,7,0,0,1,0
4,1,8,871.747,480.147,1,0
4,1,9,868.717,480.206,1,0
4,1,10,856.829,486.207,1,0
4,1,11,856.867,527.312,1,0
4,1,12,871.745,480.16,1,0
4,1,13,854.051,489.143,1,0
4,1,14,856.931,527.453,1,0
4,1,15,0,0,1,0
4,1,16,0,0,1,0
4,1,17,0,0,1,0
4,1,18,0,0,1,0
4,1,19,839.36,530.233,1,0
4,1,20,842.227,530.394,1,0
4,1,21,857.027,530.401,1,0
4,1,22,842.281,527.414,1,0
4,1,23,839.388,530.224,1,0
4,1,24,856.911,530.306,1,0
5,0,0,1327.98,121.139,0,1
5,0,1,1345.55,171.116,0,1
5,0,2,1322,156.558,0,1
5,0,3,1260.27,141.751,0,1
5,0,4,1201.39,129.941,0,1
5,0,5,1366.15,174.199,0,1
5,0,6,1416.18,200.556,0,1
5,0,7,1469.09,224.307,0,1
5,0,8,1336.76,288.846,0,1
5,0,9,1327.78,288.891,0,1
5,0,10,1263.21,353.701,0,1
5,0,11,1289.6,441.966,0,1
5,0,12,1354.3,286.017,0,1
5,0,13,1398.59,368.495,0,1
5,0,14,1442.67,456.779,0,1
5,0,15,0,0,0,1
5,0,16,1333.82,115.296,0,1
5,0,17,0,0,0,1
5,0,18,1351.5,129.982,0,1
5,0,19,1401.46,477.226,0,1
5,0,20,1419.11,480.175,0,1
5,0,21,1448.67,462.589,0,1
5,0,22,1251.37,459.703,0,1
5,0,23,1254.35,456.719,0,1
5,0,24,1304.31,453.76,0,1
5,1,0,0,0,1,0
5,1,1,880.588,436.067,1,0
5,1,2,877.613,433.185,1,0
5,1,3,0,0,1,0
5,1,4,0,0,1,0
5,1,5,880.571,436.121,1,0
5,1,6,871.69,468.484,1,0
5,1,7,0,0,1,0
5,1,8,874.601,480.155,1,0
5,1,9,868.812,480.257,1,0
5,1,10,857.046,486.191,1,0
5,1,11,857.078,524.398,1,0
5,1,12,874.656,480.203,1,0
5,1,13,857.02,489.134,1,0
5,1,14,859.796,527.254,1,0
5,1,15,0,0,1,0
5,1,16,0,0,1,0
5,1,17,0,0,1,0
5,1,18,0,0,1,0
5,1,19,851.06,527.434,1,0
5,1,20,851.139,530.259,1,0
5,1,21,859.905,530.195,1,0
5,1,22,853.972,527.238,1,0
